taxon_sciname,year,catch_spp,usd_spp,usd_kg_2014
Serranus,2014,376.8190228223975,1660549.3259329621,4.4067555652985515
Serranus cabrilla,2014,91.00881510599746,336216.09811190155,3.6943245302151504
Sicyonia brevirostris,2014,678.3979192375141,2047502.926881586,3.0181444677526117
Sicyonia ingentis,2014,238.64835896,975073.7943586477,4.085818140999999
Siganidae,2014,641.7028114129998,1892137.9072015823,2.948620254655239
Siganus,2014,18530.86666120751,52360777.77614213,2.8255978920702134
Sillaginidae,2014,1148.2820747130786,4054061.0060611386,3.530544537215847
Sillago,2014,5493.751159945216,14697478.623541396,2.675308399605045
Sillago sihama,2014,268.9466831331,139718.5389445049,0.5195027405315092
Siluriformes,2014,4863.766946147742,791357.9561531639,0.16270474406261276
Solea,2014,376.0878190730551,2880110.9058030234,7.658080798526372
Solea senegalensis,2014,33.667566666666666,411812.9862043855,12.231741909999997
Solea solea,2014,27029.025713989602,371713604.68139917,13.752386364744503
Soleidae,2014,1192.9269393996465,5871501.418727021,4.921928765966102
Solen,2014,648.4541811799663,1402049.637837379,2.1621414103400873
Solenidae,2014,149.67981194570731,218992.18196499057,1.463070931999999
Solenocera agassizii,2014,37.25,54999.11416387501,1.4764862862785237
Somniosus microcephalus,2014,58.69022293420941,26044.712233208083,0.44376577445281984
Sparidae,2014,250322.1284655546,269015746.07445246,1.0746782464797962
Sparisoma aurofrenatum,2014,42.4456297356963,126403.08535290358,2.978
Sparisoma cretense,2014,13.869398553981405,20345.917655172678,1.466964668726179
Sparus aurata,2014,1748.7227513022235,20643468.086572506,11.804883347688998
Sphoeroides maculatus,2014,0.0680388,661.7809271696174,9.726522619000002
Sphyraena,2014,40064.43045086743,69335173.92314804,1.7305917778658169
Sphyraena barracuda,2014,5614.567554015592,13490215.974878743,2.402716833504018
Sphyraena guachancho,2014,0.1892519522,820.0897450974594,4.333322512999997
Sphyraena jello,2014,13.8513985474,34317.0917655447,2.477518183316315
Sphyraena novaehollandiae,2014,57.37870176115035,275726.3064996526,4.8053772225000015
Sphyraena obtusata,2014,1481.0415908209975,2186455.5049007414,1.4762958167087707
Sphyraenidae,2014,8864.038495121076,4336881.202934014,0.4892669639601757
