taxon_sciname,taxa_group,redlist_category,catch_spp_tot,catch_spp_mean,catch_spp_std,usd_spp_tot,usd_kg_mean,usd_kg_std,prop_thr_catch,prop_thr_usd,class,cites,cms,ram_commonname,taxGroup,stockid
Merluccius senegalensis,Teleost,EN,41022.60967864341,4558.067742071489,2480.761013066799,91756429.09970199,2.2236669040099217,0.936385639384313,0.5077817325896337,0.5616300353063884,NA,NA,NA,NA,NA,NA
Galeorhinus galeus,Chondrichthyan,VU,31856.423928899156,3539.602658766573,420.9321906366203,51733805.12792474,1.6163112213454827,0.13885616803512751,0.39432182066046484,0.31665638130881185,NA,NA,NA,Tope shark,elasmobranchs,TPSHARNEATL
Apostichopus japonicus,Invertebrate,EN,25569.640011847692,2841.0711124275217,800.8324568758371,55896308.866759114,2.0678111328808355,1.1128416132078318,0.3165034162531272,0.34213456463332087,NA,NA,NA,NA,NA,NA
Alopias vulpinus,Chondrichthyan,VU,21805.503970103277,2422.8337744559194,893.7672563443607,18312431.388585288,0.7912018807318336,0.21031371271393964,0.2699105852276762,0.11208818377338504,Elasmobranchii,II,II,NA,NA,NA
Coryphaenoides rupestris,Teleost,CR,13798.268804097752,1533.1409782330834,987.3246202048632,17416106.482272282,1.372709393503242,0.6027357272020506,0.17079627295700484,0.10660188713218102,NA,NA,NA,Roundnose grenadier,gadids,RNGENI-II-IV-Va2-VIII-IX-XIVab2
Carcharhinus longimanus,Chondrichthyan,VU,13620.573092556893,1513.3970102840992,538.0881971924423,11591413.556974882,0.848220207685245,0.3357760335863021,0.1685967386761095,0.07094964428248327,Elasmobranchii,II,NA,NA,NA,NA
Sphyrna lewini,Chondrichthyan,EN,11547.268201772033,1283.0298001968924,175.38212314833407,7341174.334982391,0.6506772242122696,0.29916625755923154,0.14293317514671797,0.0449344426477894,Elasmobranchii,II,II,Scalloped hammerhead,elasmobranchs,SCHHEADATL
Carcharhinus albimarginatus,Chondrichthyan,VU,10687.805505717,1187.5339450796669,344.7158356507347,4771314.127817005,0.45741735416666657,0.07307933703749689,0.13229466481503166,0.029204638283732404,NA,NA,NA,NA,NA,NA
Sebastolobus alascanus,Teleost,EN,9732.981355064,1081.442372784889,254.5471604089097,23470772.65906357,2.438729444369956,0.20755765643279872,0.1204757614021311,0.14366176851602108,NA,NA,NA,Shortspine thornyhead,sebastids,SSTHORNHGA
Alopias superciliosus,Chondrichthyan,VU,9724.577641923262,1080.5086268803625,132.126372476629,3710421.585247345,0.3746462942626962,0.11761282878486544,0.12037173944808631,0.02271104299034693,Elasmobranchii,II,II,NA,NA,NA
Rhynchobatus djiddensis,Chondrichthyan,CR,9380.508771770097,1042.2787524188998,113.01139398760671,7614995.626718798,0.7984728191348045,0.19657727381539083,0.11611282251459125,0.046610469747519444,Elasmobranchii,II,NA,NA,NA,NA
Makaira nigricans,Teleost,VU,9129.079877479111,1014.3422086087902,450.63556051247883,17501256.15371818,1.879124103114413,0.20932479948345223,0.11300061194178027,0.10712307800076336,NA,NA,NA,Blue marlin,tuna-billfish,BMARLINATL
Pseudupeneus prayensis,Teleost,VU,8928.821475344,992.0912750382222,321.67743937927963,17809325.891723536,1.8766593331629853,2.392849378387085,0.11052179454819214,0.10900873570922512,NA,NA,NA,NA,NA,NA
