importer_name,import_vol_2015,import_val_2015,import_vol_wma_spp_th,import_vol_wma_nonspecific,import_val_wma_spp_th,import_val_wma_nonspecific,ratio_vol,n_spp_imports,n_thr_spp_imports
Bulgaria,15779.930285457756,21576274.19884513,118.46668359913335,7640.199934840422,208130.17584364535,10607757.29714647,0.48417197013103214,251,7
Burkina Faso,16640.02955435729,21985771.754159037,411.83777892300003,9458.279757317467,825390.4525742551,9457572.267849669,0.5684052258693711,73,3
Burundi,231.6789635704222,649986.615892052,2.531111123866667,103.45882269622221,9755.797266464178,417448.40557678905,0.44656114263379976,126,6
Cambodia,2490.7266755540445,2572060.641220717,1.775555566422222,2052.5222262598445,3752.481371159154,2165389.9629884916,0.8240656216536788,103,4
Cameroon,96579.06697165829,109670110.43543953,1916.6000022131777,33943.749026432895,3358593.9347721306,41052849.91104395,0.3514607263331079,222,8
Canada,299942.24264698644,483208448.13885075,7755.4563328611785,87418.574380605,13888745.959441384,124845229.42635289,0.29145135946553313,271,7
Cape Verde,3114.928038296622,7601944.916521495,32.63111180553334,754.1346849095778,90242.40936242364,1081818.9032664443,0.24210340516308407,170,6
Cayman Is,206.18666820540003,630755.4519508105,10.215555619022222,82.92888949182223,27352.954581662365,301404.1716996208,0.40220296595126964,130,7
Cent Afr Rep,1007.5466701057778,1666416.2521695339,28.47777778708889,557.5777790457778,81509.6352054627,763238.2619807576,0.5534014409349794,95,6
Chad,275.41817230184444,330795.7586706197,5.092592708733333,200.4813200842889,30453.436806290272,159246.77450948642,0.7279160935850358,66,4
Chile,136566.47889841572,190577653.91096634,1440.6652817404222,54640.11046447305,2931094.6632428356,91388630.46100284,0.4000989913865819,209,7
China Main,1240274.8927607082,1873444292.067358,14248.353341053933,634959.0905304636,28406452.713186756,949153305.9855723,0.5119502895983956,365,11
Colombia,64735.100876696466,94757693.72473231,538.8666688919556,13794.689191781667,1461682.7028596553,22092320.598119903,0.21309442643886448,204,7
Comoros,136.6688890809111,196786.9141571072,4.477777635977778,83.10444469675555,12244.322145670136,120105.59571966581,0.6080714144647493,49,1
Congo Dem Rep,43180.02214177564,44552903.1319853,199.34444566686668,20884.93656032222,991369.4784300429,20513843.647625998,0.48367127955028405,196,9
Congo Rep,10407.055545164088,10438160.521255177,47.744444141866666,8704.62442326991,87223.16241897158,8632579.296100011,0.83641567833418,205,9
Cook Is.,133.48222215806666,160517.90383926866,0.5488888951333334,104.12814797628889,1000.1883188458536,118762.56608755111,0.7800900096867032,90,4
Costa Rica,18446.209664188376,32743183.144707385,164.52444523404444,7393.414073307999,393303.0680614955,16680453.265307061,0.4008093916259466,177,5
Cote d'Ivoire,204622.91481501583,207858645.76603583,3539.4813684496667,62059.44210648933,7654087.589346074,65565533.78547114,0.3032868638519425,262,7
