scientificname,commonname,taxGroup,stockid
Hoplostethus atlanticus,Orange roughy,other marine fish,OROUGHYCASCADE
Thunnus orientalis,Pacific bluefin tuna,tuna-billfish,PACBTUNA
Engraulis ringens,Peruvian anchoveta,forage fish,PANCHCCH
Pandalus borealis,Northern shrimp,shrimps,PANDAL4RST
Pandalus jordani,Ocean shrimp,shrimps,PANDALSMA14
Macruronus magellanicus,Patagonian grenadier,gadids,PATGRENADIERCH
Haliotis iris,Paua,bivalves-gastropods,PAUANPAU5A
Gadus macrocephalus,Pacific cod,gadids,PCOD5AB
Sebastes alutus,Pacific ocean perch,sebastids,PERCHEBSAI
Panopea generosa,Pacific geoduck,bivalves-gastropods,PGEODWA
Merluccius productus,Pacific hake,gadids,PHAKEPCOAST
Hippoglossus stenolepis,Pacific halibut,pleuronectids,PHALNPAC
Cleisthenes herzensteini,Pointhead flounder,pleuronectids,PHFLOUNNHOKK
Spicara smaris,Picarel,other marine percoidids,PICAMEDGSA25
Sardinops melanostictus,Japanese sardine,forage fish,PILCHPJPN
Farfantepenaeus duorarum,Pink shrimp,shrimps,PINKSHRIMPGM
Pleuronectes platessa,European plaice,pleuronectids,PLAIC2123
Pollachius virens,Pollock,gadids,POLL3Ps
Lamna nasus,Porbeagle shark,elasmobranchs,PORSHARATL
Trisopterus minutus,Poor cod,gadids,PRCODMEDGSA9
Oncorhynchus gorbuscha,Pink salmon,salmonids,PSALMA1
Ammodytes personatus,Pacific sandlance,forage fish,PSANDLIMKB
Ammodytes hexapterus,Pacific sand lance,forage fish,PSLANCESYS
Eopsetta jordani,Petrale sole,pleuronectids,PSOLEPCOAST
Dissostichus eleginoides,Patagonian toothfish,other marine fish,PTOOTHFISHCH
Sebastes maliger,Quillback rockfish,sebastids,QROCKPCOASTIN
Arctica islandica,Ocean quahog,bivalves-gastropods,QUAHATLC
Pagrus major,Red seabream,other marine percoidids,RBRMECS
Pagellus bogaraveo,Red seabream,other marine percoidids,RBRMIX
Chaceon quinquedens,Red deepsea crab,crabs-lobsters,RDEEPCRABNWATL
Aristeus antennatus,Red shrimp,shrimps,RDSHRMPMEDGSA1
Sebastes mentella,Deepwater redfish,sebastids,REDDEEP2J3K-3LNO
Centroberyx affinis,Redfish,other marine fish,REDFEAUS
Sebastes spp,Redfish species,sebastids,REDFISHSPP1
Glyptocephalus zachirus,Rex sole,pleuronectids,REXSOLEGA
Sebastes aleutianus,Rougheye rockfish,sebastids,REYEROCKBSAI
Epinephelus morio,Red grouper,other marine percoidids,RGROUPGM
Chelidonichthys cuculus,Red gurnard,other scorpaenids,RGURNNEATL
Urophycis chuss,Red hake,gadids,RHAKEGOMNGB
Etrumeus teres,Round herring,forage fish,RHERRPAC
Macrourus berglax,Roughhead grenadier,gadids,RHGRENNEATL
Paralithodes camtschaticus,Red king crab,crabs-lobsters,RKCRABBB
Mullus barbatus,Red mullet,other marine percoidids,RMULLMEDGSA1
Coryphaenoides rupestris,Roundnose grenadier,gadids,RNGENI-II-IV-Va2-VIII-IX-XIVab2
Cancer irroratus,Rock crab,crabs-lobsters,ROCKCRABLFA23-26
Pagellus bellottii,Red pandora,other marine percoidids,RPANDWASG2
Pagrus pagrus,Red porgy,other marine percoidids,RPORGYSATLC
Jasus edwardsii,Red rock lobster,crabs-lobsters,RROCKLOBSTERCRA1
Eopsetta grigorjewi,Round nose flounder,pleuronectids,RSFLOUNSOJ
Leucoraja garmani,Rosette skate,elasmobranchs,RSKATMATLC
Lutjanus campechanus,Red snapper,other marine percoidids,RSNAPGM
Lepidopsetta bilineata,Rock sole,pleuronectids,RSOLE5AB
Pleuroncodes monodon,Red squat lobster,crabs-lobsters,RSQLOBSTERCSCH
Clidoderma asperrimum,Roughscale sole,pleuronectids,RSSOLENPAC
